Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Sum 2023,5.67,5.67,5.5,5.67,5.5,5.67,5.67,6,ACCT 5125
Fall 2020,5.14,5.0,5.0,5.0,4.71,5.14,5.14,7,ACCT 5126
Spr 2021,5.39,5.0,5.37,5.23,5.53,5.59,5.38,32,ACCT 5126
Fall 2021,5.35,5.0,5.4,5.1,5.25,5.25,5.1,20,ACCT 5126
Spr 2022,5.15,4.69,4.92,4.92,5.08,5.15,5.0,13,ACCT 5126
Fall 2022,5.5,4.33,4.83,5.0,4.83,4.67,4.5,6,ACCT 5126
Spr 2023,4.73,4.2,5.13,4.87,5.4,5.47,4.6,15,ACCT 5126
Fall 2020,5.58,5.44,5.6,5.53,5.44,5.59,5.42,55,ACCT 5135
Spr 2021,5.52,5.09,5.45,5.36,5.43,5.43,5.25,44,ACCT 5135
Fall 2021,5.43,5.24,5.11,5.36,5.16,5.42,5.23,45,ACCT 5135
Spr 2022,5.05,4.46,4.77,4.84,4.51,5.11,4.54,39,ACCT 5135
Fall 2022,5.72,5.49,5.64,5.59,5.41,5.64,5.53,39,ACCT 5135
Spr 2023,5.4,5.0,5.23,5.37,4.93,5.43,4.73,30,ACCT 5135
Fall 2020,4.59,4.14,4.65,4.4,3.83,4.74,4.03,35,ACCT 5141
Spr 2021,4.88,4.76,4.73,4.82,3.85,4.91,4.42,33,ACCT 5141
Fall 2021,4.91,4.65,5.04,4.98,4.83,5.04,4.87,46,ACCT 5141
Spr 2022,5.41,5.27,5.45,5.5,4.82,5.0,5.18,22,ACCT 5141
Fall 2022,5.37,5.11,5.32,5.38,5.5,5.26,5.32,65,ACCT 5141
Spr 2023,5.43,5.19,5.56,5.41,4.92,5.17,5.17,63,ACCT 5141
Fall 2020,5.6,5.32,5.66,5.51,5.59,5.6,5.55,88,ACCT 5160
Spr 2021,4.61,4.43,4.8,4.79,4.5,4.96,4.54,28,ACCT 5160
